"名称","城市","纬度","经度","分类","介绍","官网"
"塞维利亚 · 07 杜埃尼亚斯宫","塞维利亚","37.39472222","-5.98916667","宅邸与收藏","阿尔瓦家族在塞维利亚的历史宅邸，以庭院花园、哥特－穆德哈尔与文艺复兴元素、室内艺术陈设共同构成参观体验。它适合偏爱庭院植物和贵族生活氛围的人，也可以与马德里的利里亚宫形成同一家族、不同城市的对照。
建议预留：1–1.5 小时
看点：庭院花园、房间陈设与艺术收藏；比起追逐单件名作，更适合把房屋和生活环境整体看。
参观提示：当期临展与活动可能改变开放区域；通过官网核对日期。不要将三座塞维利亚宅邸都设成一天必去。
顺路：喜欢花园可用它替换彼拉多之家；已在利里亚看过家族收藏时仍可按建筑兴趣选择。
景点官网：https://www.lasduenas.es/
位置来源：https://es.wikipedia.org/wiki/Palacio_de_las_Due%C3%B1as_%28Sevilla%29
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.lasduenas.es/"
"塞维利亚 · 08 塞维利亚美术博物馆","塞维利亚","37.39265","-6.00013","美术馆","馆舍本身是历史修道院，院落与展厅让看画也带一点建筑漫游的感觉。收藏尤其适合认识塞维利亚绘画传统和西班牙巴洛克艺术；若你们已经在马德里看大馆，这里仍能补上更鲜明的地方艺术视角。
建议预留：1.5–2 小时
看点：穆里略、苏尔巴兰等画家的作品与修道院空间；先挑巴洛克重点，不必把宗教题材展厅全部细读。
参观提示：与宅邸收藏是不同体验：这里以绘画为主。临展、开放与门票条件以官方当期信息为准。
顺路：美术馆＋莱布里哈宫，适合多住一晚后增加的文化半天。
景点官网：https://www.museosdeandalucia.es/web/museodebellasartesdesevilla
位置来源：https://en.wikipedia.org/wiki/Museum_of_Fine_Arts_of_Seville
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.museosdeandalucia.es/web/museodebellasartesdesevilla"
"格拉纳达 · 01 阿尔罕布拉宫","格拉纳达","37.1775","-3.59","经典景点","阿尔罕布拉是一座宫殿、堡垒与园林组成的建筑群，核心魅力在纳斯里德宫殿精细的灰泥雕饰、几何纹样、阿拉伯书法和水面倒影。这里也保留了后期建筑，能够看到不同统治阶段对同一片山丘的重新塑造。
建议预留：全建筑群建议 3–4 小时，含花园
看点：纳斯里德宫殿中的桃金娘庭院、狮子庭院，以及堡垒高处的城市视野；各区域以所持门票为准。
参观提示：确认门票是否包含纳斯里德宫，并围绕其指定入场时间倒推路线；园区较大，入口到宫殿之间也要留步行时间。
景点官网：https://tickets.alhambra-patronato.es/
位置来源：https://en.wikipedia.org/wiki/Alhambra
位置为旅行规划参考，不代表售票口或唯一入口。","https://tickets.alhambra-patronato.es/"
"格拉纳达 · 02 赫内拉利费宫","格拉纳达","37.17694444","-3.58527778","经典景点","赫内拉利费是与阿尔罕布拉相邻的夏宫与花园空间，更强调水渠、植物、庭院和远景的配合。与宫殿内部的繁复装饰相比，这里适合观察园林如何通过流水、阴影和分层空间营造舒适的休憩环境。
建议预留：约 1–1.5 小时，计入建筑群总时长
看点：水渠庭院、喷泉、水道与沿途花园；从不同角度回看阿尔罕布拉和山城。
参观提示：与阿尔罕布拉同日安排即可，避免把两处建议时长简单重复相加；春季花园值得慢走，具体花况随季节变化。
景点官网：https://www.spain.info/en/destination/granada/
位置来源：https://en.wikipedia.org/wiki/Generalife
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/granada/"
"格拉纳达 · 03 阿尔拜辛区","格拉纳达","37.1817","-3.5983","经典景点","阿尔拜辛坐落在阿尔罕布拉对面的山坡上，白色民居、曲折街巷和带花园的住宅构成格拉纳达独特的历史风貌。这里的价值不只是某一栋建筑，而是走动时不断变化的屋顶、庭院和宫殿远景。
建议预留：1.5–2.5 小时
看点：石铺巷道、山坡广场、传统庭院住宅，以及面向阿尔罕布拉的不同观景角度。
参观提示：可先乘车到较高处，再缓步下山；石路不平且坡度明显，建议轻装。和圣尼古拉斯观景台合并成一条路线。
景点官网：https://www.spain.info/en/destination/granada/
位置来源：https://es.wikipedia.org/wiki/Albaic%C3%ADn
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/granada/"
"格拉纳达 · 04 圣尼古拉斯观景台","格拉纳达","37.18112","-3.59268","经典景点","圣尼古拉斯观景台位于阿尔拜辛高处，正对阿尔罕布拉山丘，是理解格拉纳达地形与城市关系的直观位置。天气晴朗时，宫殿、树林和远处山脉叠在同一画面中；它也是一个可以停下来观察广场生活的地方。
建议预留：30–60 分钟
看点：阿尔罕布拉全景、山坡层次与傍晚建筑色调的变化。
参观提示：日落前后可能较拥挤，想拍照可早点到；阴天也能看城市轮廓，不必为了等完美光线打乱整天行程。
景点官网：https://www.spain.info/gcc/en/destinations/granada/
位置来源：https://maps.apple.com/place?place-id=I75F65868D91DFA00
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/gcc/en/destinations/granada/"
"格拉纳达 · 05 罗德里格斯－阿科斯塔基金会","格拉纳达","37.17482126","-3.59201002","宅邸与收藏","画家 José María Rodríguez-Acosta 建造的工作空间与花园坐落在山坡上，白色建筑、层层庭园和城市视野很有格拉纳达特色。基金会还保存艺术、图书与文献收藏，适合对艺术家的审美世界感兴趣、又想找阿尔罕布拉以外安静去处的人。
建议预留：1–1.5 小时，按导览场次
看点：建筑与花园空间，及所选参观产品包含的 Gómez-Moreno 等收藏；各区域并非默认全部开放。
参观提示：提前核对导览语言、台阶与开放范围，尤其确认是否包含 Gómez-Moreno 藏品区域。不要紧贴纳斯里德宫的限时入场预约。
顺路：阿尔罕布拉山周边另留半天；若阿宫已走一整天，第二天再来更轻松。
景点官网：https://www.fundacionrodriguezacosta.com/
位置来源：https://es.wikipedia.org/wiki/Carmen_de_la_Fundaci%C3%B3n_Rodr%C3%ADguez_Acosta
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.fundacionrodriguezacosta.com/"
"格拉纳达 · 06 圣维森特庄园 · 洛尔迦故居","格拉纳达","37.17065","-3.60931","宅邸与收藏","这是诗人、剧作家费德里科·加西亚·洛尔迦一家曾使用的夏居。住宅尺度亲切，家具和房间帮助还原家庭生活与创作环境；它的价值来自人物故事与文学背景，并不是另一座摆满名画的大型收藏宫殿。
建议预留：约 1 小时，连公园散步 1.5 小时
看点：家庭起居空间、钢琴与书写生活的背景；先了解一点洛尔迦作品，会比单纯看家具更有收获。
参观提示：确认当期入内方式、语言和开放时段；对文学兴趣不强，可以把它作为公园散步的备选。
顺路：放在较轻松的市区半天，与阿尔拜辛爬坡日分开。
景点官网：https://www.huertadesanvicente.com/e_virtual.php
位置来源：https://en.wikipedia.org/wiki/Huerta_de_San_Vicente
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.huertadesanvicente.com/e_virtual.php"
"格拉纳达 · 07 格拉纳达美术博物馆","格拉纳达","37.1767","-3.59","美术馆","位于阿尔罕布拉区域的查理五世宫内，适合在建筑与宫苑之外补一点格拉纳达艺术史。收藏以地方绘画、雕塑传统为线索，尤其能看到十六至十八世纪的宗教艺术；规模和主题都更适合选重点看。
建议预留：45–90 分钟
看点：格拉纳达画派、宗教绘画与雕塑，再结合宫殿本身的圆形庭院体会空间。
参观提示：先保住纳斯里德宫预约时段；美术馆开放、票务与阿尔罕布拉各区域需分别核对，不能默认阿宫票全包含。
顺路：阿尔罕布拉当天体力有余再加，不必为它单独延长一晚。
景点官网：https://www.museosdeandalucia.es/web/museodebellasartesdegranada/las-colecciones
位置来源：https://en.wikipedia.org/wiki/Museo_de_Bellas_Artes_de_Granada
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.museosdeandalucia.es/web/museodebellasartesdegranada/las-colecciones"
"科尔多瓦 · 01 科尔多瓦清真寺大教堂","科尔多瓦","37.87916667","-4.77972222","经典景点","清真寺大教堂以密集的红白相间拱券闻名，历史清真寺的空间中又融入了后来的基督教堂建筑。行走其中，既能看到重复柱列带来的秩序，也能体会不同宗教时期对建筑的延续与改变。
建议预留：1.5–2 小时
看点：红白双层拱券、米哈拉布周围的精细装饰，以及中央教堂空间与旧柱厅的对比。
参观提示：这是科尔多瓦最值得优先安排的室内景点。建议配合导览理解空间层次，并在进门前区分礼拜与旅游参观安排。
景点官网：https://www.spain.info/en/destination/cordoba/
位置来源：https://en.wikipedia.org/wiki/Mosque%E2%80%93Cathedral_of_C%C3%B3rdoba
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/cordoba/"
"科尔多瓦 · 02 罗马桥","科尔多瓦","37.87666667","-4.77805556","经典景点","罗马桥跨越瓜达尔基维尔河，起源于罗马时期，之后经历多次修复。今天从桥上步行，最重要的体验是回望老城与清真寺大教堂，同时看到河流、城门和防御设施如何共同构成城市的历史入口。
建议预留：30–45 分钟
看点：桥门、对岸卡拉奥拉塔，以及从南岸望向老城的全景。
参观提示：参观清真寺大教堂后过桥再回城很顺路；想拍城市天际线，可比较桥面与南岸两个视角。
景点官网：https://www.spain.info/en/destination/cordoba/
位置来源：https://en.wikipedia.org/wiki/Roman_bridge_of_C%C3%B3rdoba
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/cordoba/"
"科尔多瓦 · 03 犹太区","科尔多瓦","37.87899243","-4.78169556","经典景点","科尔多瓦犹太区紧邻清真寺大教堂，狭窄街巷、白墙和小庭院保留了老城细密的空间尺度。它适合结合犹太会堂等历史点位理解社区过去，也适合以散步的方式观察花卉、门窗和庭院生活。
建议预留：1–1.5 小时
看点：犹太会堂周边、传统白墙巷道与庭院细节；附近百花巷可顺路经过。
参观提示：不要把五月庭院节的开放范围当作四月常态；想进入某个庭院或小型场馆，需核对其单独开放安排。
景点官网：https://www.spain.info/en/destination/cordoba/
位置来源：https://es.wikipedia.org/wiki/Juder%C3%ADa_de_C%C3%B3rdoba
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/cordoba/"
"科尔多瓦 · 04 基督教君主城堡","科尔多瓦","37.87722222","-4.78194444","经典景点","基督教君主城堡兼有防御建筑和宫廷空间的特点，但许多游客最喜欢的是内部庭院及层层展开的花园。塔楼、城墙、长水池和修剪整齐的植物组合，让这里呈现出与清真寺大教堂截然不同的参观节奏。
建议预留：1–1.5 小时
看点：花园水池的轴线、庭院，以及开放塔楼上的景观。
参观提示：可与罗马桥放在同一片区域游览；花园和塔楼的开放范围可能不同，购票前核对当日可参观内容。
景点官网：https://www.spain.info/en/destination/cordoba/
位置来源：https://en.wikipedia.org/wiki/Alc%C3%A1zar_de_los_Reyes_Cristianos
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/cordoba/"
"科尔多瓦 · 05 维亚纳宫","科尔多瓦","37.88853276","-4.77381612","宅邸与收藏","如果东海岸路线保留科尔多瓦过夜，我很建议把这座宫邸加进去。庭院之外，上层还有家族积累的瓷砖、皮革工艺、挂毯、书籍与艺术陈设；只逛庭院会错过最贴近你们兴趣的收藏部分。
建议预留：1.5–2 小时
看点：庭院的空间变化，以及宫内瓷砖、装饰皮革、挂毯与书房收藏；两条线合起来才更完整。
参观提示：买票时区分庭院票与含宫内收藏的参观，确认讲解场次。内陆 17 天路线不经过科尔多瓦，此处属于东海岸路线或另行调整后的选择。
顺路：抵达日大清真寺，次日上午维亚纳宫后再出发；不必强行塞进短暂停车。
景点官网：https://www.palaciodeviana.com/casa-palacio/colecciones/
位置来源：https://es.wikipedia.org/wiki/Palacio_de_Viana_%28C%C3%B3rdoba%29
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.palaciodeviana.com/casa-palacio/colecciones/"
"科尔多瓦 · 06 胡里奥·罗梅罗·德·托雷斯博物馆","科尔多瓦","37.88133","-4.77485","美术馆","一座围绕科尔多瓦本地画家展开的专题馆，通过家庭背景、创作阶段、人物与城市意象来理解他的艺术。它不靠巨大规模取胜，适合在古城散步时用一小时，把看到的安达卢西亚街巷与画中的地方气质联系起来。
建议预留：45–75 分钟
看点：家庭背景、早期作品与“科尔多瓦精神”等展室；重点看人物和象征意象。
参观提示：现行周一闭馆。若只有半天科尔多瓦，先保留大清真寺；喜欢宅邸收藏则维亚纳优先于此馆。
顺路：小马广场一带散步顺访，适合已有一晚住宿的行程。
景点官网：https://museojulioromero.cordoba.es/
位置来源：https://en.wikipedia.org/wiki/Julio_Romero_de_Torres_Museum
位置为旅行规划参考，不代表售票口或唯一入口。","https://museojulioromero.cordoba.es/"
"马拉加 · 01 马拉加城堡","马拉加","36.72138889","-4.41555556","经典景点","马拉加城堡 Alcazaba 是依山而建的伊斯兰时期宫堡，城墙、门道和庭院随着地势层层升高。它既有防御设施的厚重，也有水池、植物和拱廊带来的细腻空间；从这里还能看见山脚罗马剧场与现代港口，体会城市不同时代的重叠。
建议预留：1–1.5 小时
看点：折转的城门通道、庭院拱廊与花园，以及俯瞰老城和海港的视角。
参观提示：可先看山脚的罗马剧场，再上行参观宫堡。它与更高处的希布拉尔法罗城堡是两处景点，安排交通时要分别定位。
景点官网：https://www.spain.info/en/destination/malaga/
位置来源：https://en.wikipedia.org/wiki/Alcazaba_of_M%C3%A1laga
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/malaga/"
"马拉加 · 02 毕加索博物馆","马拉加","36.72166667","-4.41833333","美术馆","马拉加是毕加索的出生地，这座博物馆通过绘画、雕塑、陶瓷等作品呈现他不断改变表达方式的创作过程。馆舍本身是一座历史宫邸，适合在较亲切的尺度中看作品如何从人物形象、线条和材料出发，逐渐走向不同艺术实验。
建议预留：1.5–2 小时
看点：比较不同阶段的人像、造型与材料处理；同时留意宫邸庭院和展厅建筑。
参观提示：常设展与临时展内容会变化，出发前看展览介绍，挑自己感兴趣的主题；这里不是收藏所有毕加索最著名作品的综合馆。
景点官网：https://www.spain.info/en/places-of-interest/museum-picasso-malaga/
位置来源：https://en.wikipedia.org/wiki/Museo_Picasso_M%C3%A1laga
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/places-of-interest/museum-picasso-malaga/"
"马拉加 · 03 希布拉尔法罗城堡","马拉加","36.72333333","-4.41083333","经典景点","希布拉尔法罗城堡位于马拉加老城上方的山脊，过去承担保护下方宫堡和控制周边通道的任务。今天的主要体验是沿城墙步行，从高处辨认港口、斗牛场、海岸和城市街区，适合想看马拉加整体地形的人。
建议预留：城堡内约 1 小时；步行上下山另计
看点：城墙步道、塔楼与海港全景；从不同转角比较城市和海岸线的方向。
参观提示：山路较陡，可按体力选择步行或乘车上山；傍晚适合看城市色调变化，但要先核对闭馆时间，避免只赶上门口。
景点官网：https://www.spain.info/en/destination/malaga/
位置来源：https://en.wikipedia.org/wiki/Gibralfaro
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/malaga/"
"马拉加 · 04 马拉格塔海滩","马拉加","36.71719734","-4.40981143","经典景点","马拉格塔是距离市中心较近的城市海滩，背后连接滨海步道，适合在博物馆和老城行程之间留一段海边休息。这里的吸引力是方便、开放和有生活气息：可以看海、散步，也能顺路延伸到港区。
建议预留：1–2 小时；用餐另留时间
看点：沙滩上的 Malagueta 标识、海岸步道与临海城市景观。
参观提示：从老城步行到海边时可串联港区。四月海风可能偏凉，把它当作散步与午餐地点会比专门安排长时间下水更灵活。
景点官网：https://www.spain.info/en/destination/malaga/
位置来源：https://es.wikipedia.org/wiki/Playa_de_La_Malagueta
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/malaga/"
"马拉加 · 05 卡门·提森博物馆","马拉加","36.72138889","-4.42277778","美术馆","以卡门·提森收藏为基础，适合看十九世纪西班牙、尤其安达卢西亚的风景和生活题材。相较毕加索的形式探索，这里更容易把画面与旅途中的城市、乡野和地方风情联系起来，是马拉加很值得补的一座馆。
建议预留：1.5–2 小时
看点：浪漫主义风景、风俗画与世纪之交绘画；馆设于历史宫邸，但不是提森家族保留原样的居所。
参观提示：时间有限时与毕加索馆按兴趣二选一；喜欢传统绘画和地方风景，优先这里。临展票务另查。
顺路：老城慢行＋提森＋海边晚餐，很适合马拉加休整日。
景点官网：https://www.carmenthyssenmalaga.org/coleccion
位置来源：https://en.wikipedia.org/wiki/Carmen_Thyssen_Museum
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.carmenthyssenmalaga.org/coleccion"
"马拉加 · 06 马拉加博物馆","马拉加","36.720087","-4.417401","地方特色","在旧海关宫中同时看地方考古与美术，比只看海滨更能理解马拉加。馆史还与洛林侯爵家族等私人收藏的汇入有关，适合对“藏品怎样从私人宅园进入公共博物馆”感兴趣的人。
建议预留：1.5–2.5 小时
看点：洛林考古收藏的线索、当地历史与绘画；按考古或美术兴趣选一条主线即可。
参观提示：这是一座公共博物馆，原家族庄园并非此处；不要把展示中的旧收藏误作完整原宅陈设。
顺路：与城堡、罗马剧场周边同一天，但爬山和看馆之间留休息。
景点官网：https://www.museosdeandalucia.es/web/museodemalaga/historia
位置来源：https://en.wikipedia.org/wiki/Museo_de_M%C3%A1laga
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.museosdeandalucia.es/web/museodemalaga/historia"
"龙达 · 01 龙达新桥","龙达","36.74074722","-5.16590278","经典景点","龙达新桥跨越陡峭的埃尔塔霍峡谷，连接被河谷分开的城市两侧。“新桥”是相对于城中更早的桥而言，厚重石桥与垂直崖壁共同构成龙达最鲜明的景观。站在桥面看深谷，与从侧面看整座桥，是两种不同的体验。
建议预留：桥面与附近观景点约 45–60 分钟
看点：桥下峡谷、桥头观景位置，以及从周边步道看到的桥体与悬崖组合。
参观提示：先从城内的正规观景点看桥；若想下行找角度，要另留往返时间，并按当日步道开放情况选择路线。
景点官网：https://www.spain.info/en/destination/ronda/
位置来源：https://en.wikipedia.org/wiki/Puente_Nuevo
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/ronda/"
"龙达 · 02 龙达斗牛场","龙达","36.742361","-5.167067","经典景点","龙达斗牛场以圆形竞技场、砂色地面和连续拱廊见长，是了解当地斗牛传统与建筑类型的历史场所。即使对表演本身兴趣不大，也能从看台的环形布局、进出通道和展览中理解这项活动曾怎样影响城市文化。
建议预留：45–75 分钟
看点：环绕场地的石柱拱廊、看台对称感，以及馆内有关历史和服饰的展示。
参观提示：常规建筑参观不等于观看斗牛表演；按个人兴趣选择是否入内，入场前核对当天开放的展区与场地。
景点官网：https://www.spain.info/en/destination/ronda/
位置来源：https://en.wikipedia.org/wiki/Plaza_de_Toros_de_Ronda
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/ronda/"
"龙达 · 03 阿拉伯浴场","龙达","36.73888728","-5.16279163","经典景点","龙达阿拉伯浴场位于老城较低处，保留了中世纪公共浴场的主要空间结构。它展示的不是奢华宫廷，而是清洁、社交和用水技术如何组成城市日常；进入低矮拱顶下，更容易理解冷、温、热不同房间之间的关系。
建议预留：30–45 分钟
看点：砖石拱券、星形采光孔，以及帮助理解供水和加热方式的遗迹。
参观提示：从新桥和老城下行到这里会有坡度，回程也需留体力；可与老桥一带合并，避免为一个小景点单独多次上下山。
景点官网：https://www.spain.info/en/destination/ronda/
位置来源：https://es.wikipedia.org/wiki/Ba%C3%B1os_%C3%A1rabes_de_Ronda
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/ronda/"
"托莱多 · 01 托莱多大教堂","托莱多","39.85708333","-4.02388889","经典景点","托莱多大教堂是城市最重要的宗教建筑之一，哥特式空间中汇集了祭坛、雕刻、绘画与历代装饰。与外部紧凑的老城街道相比，内部尺度显得格外开阔，适合花时间观察不同礼拜堂和艺术作品如何共同构成完整的宗教空间。
建议预留：1.5–2 小时
看点：主祭坛、唱诗班席、彩色玻璃，以及圣器室收藏；具体开放区域依当日安排。
参观提示：先确定教堂参观时段，再串联老城其他小景点。内容较多，配合导览比只快速穿过中殿更能看懂。
景点官网：https://www.spain.info/en/destination/toledo/
位置来源：https://en.wikipedia.org/wiki/Toledo_Cathedral
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/toledo/"
"托莱多 · 02 圣多美教堂","托莱多","39.8568","-4.0281","经典景点","圣多美教堂最著名的是埃尔·格列柯的《奥尔加斯伯爵的葬礼》。作品将下方现实世界的葬礼人物与上方宗教天国场景连接起来，修长形体、冷暖色调和人物表情体现了画家极具辨识度的风格，是托莱多艺术行程的重点。
建议预留：30–45 分钟
看点：观察画作上下两个层次如何通过人物动作与视线相连，再看下部肖像群的细节。
参观提示：它更适合专程看一件关键作品，不必按大型博物馆预留时间；进入对应参观区域后，按现场要求拍照与停留。
景点官网：https://www.spain.info/en/destination/toledo/
位置来源：https://en.wikipedia.org/wiki/Church_of_Santo_Tom%C3%A9%2C_Toledo
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/toledo/"
"托莱多 · 03 山谷观景台","托莱多","39.850369","-4.022117","经典景点","山谷观景台位于塔霍河对岸，能把托莱多的城墙、河湾、山坡和主要建筑收进同一视野。相比在老城内逐个寻找地标，这里更适合先理解城市为什么建在这处高地，以及河流怎样环抱历史城区。
建议预留：30–45 分钟，另加往返交通
看点：河湾曲线、托莱多城堡与大教堂在屋顶之间形成的天际线。
参观提示：位置不在老城核心步行区，安排好往返交通再出发；可作为到达或离开托莱多时的一站，不必硬塞进密集的室内参观中。
景点官网：https://www.spain.info/en/destination/toledo/
位置来源：https://commons.wikimedia.org/wiki/File:Mirador_del_Valle_-_Toledo.jpeg
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/toledo/"
"托莱多 · 04 格列柯博物馆","托莱多","39.856","-4.029","美术馆","在托莱多看过圣多美教堂后，这座专题馆能补充格列柯与城市的关系。需要特别说明：它不是格列柯真实居住过的那栋房子，而是后来收藏家在历史住宅基础上创建的博物馆，曾以重建画家生活氛围为构想。
建议预留：1–1.5 小时
看点：画家作品与专题展陈、博物馆创建史和住宅空间；不要把重构的氛围当作艺术家原物原址。
参观提示：只有半天托莱多时，可在大教堂、圣多美教堂之后按体力选；住一晚才更适合慢慢看。
顺路：与犹太区、圣多美教堂同片区安排；对格列柯兴趣强再加。
景点官网：https://www.cultura.gob.es/mgreco/museo/casa-museo.html
位置来源：https://en.wikipedia.org/wiki/El_Greco_Museum%2C_Toledo
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.cultura.gob.es/mgreco/museo/casa-museo.html"
"塞哥维亚 · 01 古罗马渡槽","塞哥维亚","40.9479","-4.1178","经典景点","塞哥维亚古罗马渡槽是古代城市供水工程的鲜明遗存，高大的花岗岩拱券跨越广场，依靠精密的石块排列与结构受力保持稳定。它既是一处古迹，也仍然深深嵌在今天的城市生活中，走近看石块与退远看整体都有意思。
建议预留：30–45 分钟
看点：阿索格霍广场上方的双层拱券、石块接缝，以及从邻近高处看到的渡槽延伸方向。
参观提示：从渡槽一带开始步行进入老城很顺路。拍完广场正面后，可在允许通行的高处换个视角，再沿主街前往大教堂。
景点官网：https://www.spain.info/en/destination/segovia/
位置来源：https://en.wikipedia.org/wiki/Aqueduct_of_Segovia
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/segovia/"
"塞哥维亚 · 02 塞哥维亚城堡","塞哥维亚","40.9525","-4.1325","经典景点","塞哥维亚城堡占据河谷交汇附近的岩石高地，尖塔、城墙与狭长地形让它具有鲜明的剪影。内部展现王室和军事历史，外部则适合观察城堡如何利用地势形成防御优势；无需借助童话联想，建筑本身就足够吸引人。
建议预留：1–1.5 小时；登塔另留约半小时
看点：尖塔外观、装饰厅室与盔甲展示；若登塔，可从高处回看老城和周边平原。
参观提示：登塔通常涉及较多狭窄台阶，按体力选择；主建筑与塔楼的参观内容可能分开，购票时确认即可。
景点官网：https://www.spain.info/en/destination/segovia/
位置来源：https://en.wikipedia.org/wiki/Alc%C3%A1zar_of_Segovia
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/segovia/"
"塞哥维亚 · 03 塞哥维亚大教堂","塞哥维亚","40.95","-4.12528","经典景点","塞哥维亚大教堂位于老城主广场边，浅色石材与密集尖塔形成轻盈的天际轮廓。内部哥特式柱列与拱顶强调向上的空间感，和附近王城、渡槽一起，可以看见这座小城横跨古罗马、中世纪与后续时期的历史层次。
建议预留：45–75 分钟
看点：主广场方向的整体外观、内部高耸拱顶、回廊及彩色玻璃。
参观提示：可放在渡槽到城堡的步行线路中间，正好形成休息节点；若想参加钟楼等专项参观，需要额外核对时段。
景点官网：https://www.spain.info/en/destination/segovia/
位置来源：https://en.wikipedia.org/wiki/Segovia_Cathedral
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/segovia/"
"萨拉曼卡 · 01 萨拉曼卡大学","萨拉曼卡","40.96138889","-5.66666667","经典景点","萨拉曼卡大学拥有悠久的学术传统，历史校舍以繁复的银匠式立面闻名。浮雕细密得像金属工艺，适合慢慢辨认人物、纹章和装饰。与热闹的学生城市结合着看，才更能体会这座大学对萨拉曼卡身份的持续影响。
建议预留：45–75 分钟
看点：历史校舍立面的层层雕饰、著名“找青蛙”细节，以及开放参观的庭院和教室。
参观提示：先退后看立面的整体结构，再近看细节；图书馆等空间不一定能自由进入，以参观线路为准，不要只为寻找青蛙错过建筑本身。
景点官网：https://www.spain.info/en/destination/salamanca/
位置来源：https://en.wikipedia.org/wiki/University_of_Salamanca
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/salamanca/"
"萨拉曼卡 · 02 主广场","萨拉曼卡","40.965","-5.66416667","经典景点","萨拉曼卡主广场由统一的砂岩立面与拱廊围合，是这座大学城的公共客厅。白天适合看石材、浮雕肖像和建筑比例，傍晚则能感受到学生、居民与游客交错停留的城市节奏。广场不大，却很值得在不同时段经过。
建议预留：30–60 分钟
看点：拱廊上方的人物圆形浮雕、市政厅立面，以及夕光下砂岩逐渐变暖的色调。
参观提示：适合把咖啡或晚餐前的休息安排在这里，再步行前往大学区；想拍较完整的建筑，可清晨来一次、傍晚再经过一次。
景点官网：https://www.spain.info/en/destination/salamanca/
位置来源：https://en.wikipedia.org/wiki/Plaza_Mayor%2C_Salamanca
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/salamanca/"
"萨拉曼卡 · 03 新旧大教堂","萨拉曼卡","40.96055556","-5.66583333","经典景点","萨拉曼卡的新、旧两座大教堂相互连接，分别体现较早的罗马式传统与后来的哥特式扩建。它们让建筑风格的演变变得具体可见：既能看老教堂较沉稳的比例，也能看新教堂更高更复杂的空间组织。
建议预留：1.5–2 小时；塔楼线路另计
看点：新旧教堂的结构差异、祭坛与塔楼轮廓；外立面上的宇航员是现代修复添加的细节。
参观提示：参观时先辨认自己进入的是新教堂还是旧教堂，避免漏看连接区域；宇航员雕刻不属于中世纪原作，适合作为有趣补充。
景点官网：https://www.spain.info/en/destination/salamanca/
位置来源：https://en.wikipedia.org/wiki/New_Cathedral_of_Salamanca
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/salamanca/"
